,BARCLAY,CHAKOTAY,COMPUTER,EMH,JANEWAY,KES,KIM,NEELIX,PARIS,SEVEN,TORRES,TUVOK,lines,ep,season,title
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,5,154,7,"Author, Author"
CHAKOTAY,0,0,0,1,2,0,1,0,2,0,0,0,3,154,7,"Author, Author"
COMPUTER,0,0,0,1,1,0,0,0,2,0,0,0,3,154,7,"Author, Author"
EMH,0,1,1,0,20,0,7,18,46,3,6,5,62,154,7,"Author, Author"
JANEWAY,0,2,1,20,2,0,2,0,3,1,1,1,24,154,7,"Author, Author"
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,154,7,"Author, Author"
KIM,0,1,0,7,2,0,0,2,6,18,3,1,25,154,7,"Author, Author"
NEELIX,0,0,0,18,0,0,2,0,1,0,0,0,15,154,7,"Author, Author"
PARIS,0,2,2,46,3,0,6,1,0,0,12,2,51,154,7,"Author, Author"
SEVEN,0,0,0,3,1,0,18,0,0,0,0,0,13,154,7,"Author, Author"
TORRES,0,0,0,6,1,0,3,0,12,0,4,0,23,154,7,"Author, Author"
TUVOK,0,0,0,5,1,0,1,0,2,0,0,0,12,154,7,"Author, Author"
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,155,7,Friendship One
CHAKOTAY,0,4,0,1,11,0,9,4,9,4,1,2,30,155,7,Friendship One
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,155,7,Friendship One
EMH,0,1,0,2,4,0,0,0,3,1,1,1,13,155,7,Friendship One
JANEWAY,0,11,0,4,2,0,1,4,8,7,4,12,64,155,7,Friendship One
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,155,7,Friendship One
KIM,0,9,0,0,1,0,2,0,5,0,2,6,16,155,7,Friendship One
NEELIX,0,4,0,0,4,0,0,2,20,0,0,1,31,155,7,Friendship One
PARIS,0,9,0,3,8,0,5,20,2,0,12,4,64,155,7,Friendship One
SEVEN,0,4,0,1,7,0,0,0,0,0,1,0,19,155,7,Friendship One
TORRES,0,1,0,1,4,0,2,0,12,1,0,1,11,155,7,Friendship One
TUVOK,0,2,0,1,12,0,6,1,4,0,1,0,17,155,7,Friendship One
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,156,7,Natural Law
CHAKOTAY,0,24,0,1,5,0,0,0,0,94,0,0,70,156,7,Natural Law
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,156,7,Natural Law
EMH,0,1,0,0,0,0,0,0,0,0,0,0,1,156,7,Natural Law
JANEWAY,0,5,0,0,0,0,12,0,13,11,4,18,40,156,7,Natural Law
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,156,7,Natural Law
KIM,0,0,0,0,12,0,0,2,2,0,3,2,14,156,7,Natural Law
NEELIX,0,0,0,0,0,0,2,0,1,0,2,0,3,156,7,Natural Law
PARIS,0,0,0,0,13,0,2,1,2,0,2,0,30,156,7,Natural Law
SEVEN,0,94,0,0,11,0,0,0,0,22,0,0,82,156,7,Natural Law
TORRES,0,0,0,0,4,0,3,2,2,0,0,2,8,156,7,Natural Law
TUVOK,0,0,0,0,18,0,2,0,0,0,2,0,11,156,7,Natural Law
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,157,7,Homestead
CHAKOTAY,0,0,0,0,0,0,1,4,0,0,0,0,3,157,7,Homestead
COMPUTER,0,0,0,0,0,0,0,0,2,0,0,0,1,157,7,Homestead
EMH,0,0,0,0,0,0,0,0,0,0,0,0,0,157,7,Homestead
JANEWAY,0,0,0,0,0,0,4,26,0,10,0,1,30,157,7,Homestead
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,157,7,Homestead
KIM,0,1,0,0,4,0,0,3,0,0,0,0,4,157,7,Homestead
NEELIX,0,4,0,0,26,0,3,8,9,2,0,39,147,157,7,Homestead
PARIS,0,0,2,0,0,0,0,9,0,0,0,5,10,157,7,Homestead
SEVEN,0,0,0,0,10,0,0,2,0,0,0,0,8,157,7,Homestead
TORRES,0,0,0,0,0,0,0,0,0,0,0,0,0,157,7,Homestead
TUVOK,0,0,0,0,1,0,0,39,5,0,0,4,26,157,7,Homestead
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,158,7,Renaissance Man
CHAKOTAY,0,6,2,20,41,0,4,0,0,5,4,8,50,158,7,Renaissance Man
COMPUTER,0,2,0,3,0,0,0,0,0,0,1,4,6,158,7,Renaissance Man
EMH,0,20,3,6,30,0,0,0,0,4,8,2,54,158,7,Renaissance Man
JANEWAY,0,41,0,30,2,0,0,0,2,1,18,2,65,158,7,Renaissance Man
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,158,7,Renaissance Man
KIM,0,4,0,0,0,0,4,0,2,5,0,0,16,158,7,Renaissance Man
NEELIX,0,0,0,0,0,0,0,0,0,0,0,0,0,158,7,Renaissance Man
PARIS,0,0,0,0,2,0,2,0,2,1,17,5,28,158,7,Renaissance Man
SEVEN,0,5,0,4,1,0,5,0,1,0,1,1,10,158,7,Renaissance Man
TORRES,0,4,1,8,18,0,0,0,17,1,0,1,34,158,7,Renaissance Man
TUVOK,0,8,4,2,2,0,0,0,5,1,1,4,28,158,7,Renaissance Man
BARCLAY,2,0,1,20,12,0,0,0,0,0,0,0,24,159,7,Endgame (parts 1 & 2)
CHAKOTAY,0,0,0,0,21,0,0,0,1,52,0,8,47,159,7,Endgame (parts 1 & 2)
COMPUTER,1,0,0,0,2,0,0,0,0,0,0,0,3,159,7,Endgame (parts 1 & 2)
EMH,20,0,0,0,34,0,0,0,30,20,8,14,78,159,7,Endgame (parts 1 & 2)
JANEWAY,12,21,2,34,22,0,43,0,14,19,13,33,186,159,7,Endgame (parts 1 & 2)
KES,0,0,0,0,0,0,0,0,0,0,0,0,0,159,7,Endgame (parts 1 & 2)
KIM,0,0,0,0,43,0,2,0,20,4,0,9,50,159,7,Endgame (parts 1 & 2)
NEELIX,0,0,0,0,0,0,0,0,0,0,0,0,0,159,7,Endgame (parts 1 & 2)
PARIS,0,1,0,30,14,0,20,0,2,2,34,3,59,159,7,Endgame (parts 1 & 2)
SEVEN,0,52,0,20,19,0,4,0,2,2,0,3,70,159,7,Endgame (parts 1 & 2)
TORRES,0,0,0,8,13,0,0,0,34,0,0,1,31,159,7,Endgame (parts 1 & 2)
TUVOK,0,8,0,14,33,0,9,0,3,3,1,0,44,159,7,Endgame (parts 1 & 2)
BARCLAY,18,16,39,157,32,2,16,0,7,0,13,6,366,all,-1,-1
CHAKOTAY,16,208,72,569,2937,42,747,371,760,629,763,869,5512,all,-1,-1
COMPUTER,39,72,16,172,184,13,59,25,79,93,65,47,550,all,-1,-1
EMH,157,569,172,448,1547,728,454,428,579,1142,689,272,5419,all,-1,-1
JANEWAY,32,2937,184,1547,604,250,1560,819,1439,1579,1205,2395,10848,all,-1,-1
KES,2,42,13,728,250,38,42,370,113,1,58,159,1223,all,-1,-1
KIM,16,747,59,454,1560,42,136,229,1316,449,554,618,4262,all,-1,-1
NEELIX,0,371,25,428,819,370,229,172,550,341,314,646,3128,all,-1,-1
PARIS,7,760,79,579,1439,113,1316,550,216,284,1529,766,4894,all,-1,-1
SEVEN,0,629,93,1142,1579,1,449,341,284,168,282,451,3957,all,-1,-1
TORRES,13,763,65,689,1205,58,554,314,1529,282,312,289,4268,all,-1,-1
TUVOK,6,869,47,272,2395,159,618,646,766,451,289,116,4496,all,-1,-1
