,ALEXANDER,BARCLAY,COMPUTER,CRUSHER,DATA,GUINAN,K'EHLEYR,LAFORGE,LWAXANA,O'BRIEN,PICARD,PULASKI,Q,RIKER,RO,TASHA,TROI,VASH,WESLEY,WORF,lines,ep,season,title
LAFORGE,0,0,28,14,28,0,0,2,0,17,11,0,0,6,0,0,20,0,0,6,95,96,4,The Mind's Eye
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,The Mind's Eye
O'BRIEN,0,0,0,0,3,0,0,17,0,0,1,0,0,0,0,0,0,0,0,2,15,96,4,The Mind's Eye
PICARD,0,0,0,0,6,0,0,11,0,1,2,0,0,3,0,0,0,0,0,6,44,96,4,The Mind's Eye
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,The Mind's Eye
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,The Mind's Eye
RIKER,0,0,0,0,26,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,23,96,4,The Mind's Eye
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,The Mind's Eye
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,The Mind's Eye
TROI,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,11,96,4,The Mind's Eye
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,The Mind's Eye
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,The Mind's Eye
WORF,0,0,0,0,2,0,0,6,0,2,6,0,0,0,0,0,1,0,0,0,18,96,4,The Mind's Eye
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
COMPUTER,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,97,4,In Theory
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,4,In Theory
DATA,0,0,1,0,4,14,0,12,0,1,19,0,0,18,0,0,6,0,0,5,113,97,4,In Theory
GUINAN,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,97,4,In Theory
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
LAFORGE,0,0,1,0,12,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,20,97,4,In Theory
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
O'BRIEN,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,6,97,4,In Theory
PICARD,0,0,1,0,19,0,0,6,0,1,4,0,0,13,0,0,0,0,0,19,51,97,4,In Theory
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
RIKER,0,0,0,0,18,0,0,1,0,3,13,0,0,0,0,0,0,0,0,9,31,97,4,In Theory
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
TROI,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,97,4,In Theory
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,In Theory
WORF,0,0,1,0,5,0,0,0,0,0,19,0,0,9,0,0,0,0,0,2,22,97,4,In Theory
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
COMPUTER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,98,4,Redemption (part 1)
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
DATA,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,5,98,4,Redemption (part 1)
GUINAN,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,98,4,Redemption (part 1)
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
LAFORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
PICARD,0,0,0,0,5,0,0,0,0,0,6,0,0,11,0,0,0,0,0,43,60,98,4,Redemption (part 1)
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
RIKER,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,12,98,4,Redemption (part 1)
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
TROI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,Redemption (part 1)
WORF,0,0,1,0,2,18,0,0,0,0,43,0,0,3,0,0,0,0,0,2,73,98,4,Redemption (part 1)
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,Redemption (part 2)
CRUSHER,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,99,5,Redemption (part 2)
DATA,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,34,99,5,Redemption (part 2)
GUINAN,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,99,5,Redemption (part 2)
