,ALEXANDER,BARCLAY,COMPUTER,CRUSHER,DATA,GUINAN,K'EHLEYR,LAFORGE,LWAXANA,O'BRIEN,PICARD,PULASKI,Q,RIKER,RO,TASHA,TROI,VASH,WESLEY,WORF,lines,ep,season,title
PICARD,0,0,3,0,33,15,0,0,0,0,6,0,0,6,0,0,0,0,0,0,91,33,2,The Measure Of A_Man
PULASKI,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,4,33,2,The Measure Of A_Man
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,The Measure Of A_Man
RIKER,0,0,5,0,35,0,0,0,0,5,6,1,0,6,0,0,0,0,0,0,37,33,2,The Measure Of A_Man
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,The Measure Of A_Man
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,The Measure Of A_Man
TROI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,The Measure Of A_Man
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,The Measure Of A_Man
WESLEY,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,2,The Measure Of A_Man
WORF,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33,2,The Measure Of A_Man
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
COMPUTER,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,34,2,The Dauphin
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
DATA,0,0,0,0,0,0,0,1,0,0,6,0,0,5,0,0,1,0,8,2,13,34,2,The Dauphin
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,8,0,17,34,2,The Dauphin
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
LAFORGE,0,0,6,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,26,1,28,34,2,The Dauphin
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,34,2,The Dauphin
PICARD,0,0,0,0,6,0,0,6,0,0,2,4,0,9,0,0,7,0,8,14,53,34,2,The Dauphin
PULASKI,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,11,34,2,The Dauphin
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
RIKER,0,0,0,0,5,20,0,1,0,2,9,0,0,0,0,0,0,0,8,2,30,34,2,The Dauphin
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
TROI,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,7,34,2,The Dauphin
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,The Dauphin
WESLEY,0,0,0,0,8,8,0,26,0,0,8,0,0,8,0,0,0,0,2,6,92,34,2,The Dauphin
WORF,0,0,0,0,2,0,0,1,0,0,14,1,0,2,0,0,4,0,6,2,35,34,2,The Dauphin
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
COMPUTER,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,35,2,Contagion
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
DATA,0,0,0,0,2,0,0,15,0,0,65,0,0,16,0,0,0,0,0,12,58,35,2,Contagion
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
LAFORGE,0,0,0,0,15,0,0,8,0,0,25,0,0,13,0,0,0,0,0,0,41,35,2,Contagion
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
O'BRIEN,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,1,0,8,35,2,Contagion
PICARD,0,0,1,0,65,0,0,25,0,2,12,0,0,21,0,0,3,0,22,54,114,35,2,Contagion
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,2,Contagion
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
RIKER,0,0,0,0,16,0,0,13,0,8,21,0,0,4,0,0,11,0,8,8,55,35,2,Contagion
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
TROI,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,2,2,9,35,2,Contagion
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,Contagion
WESLEY,0,0,0,0,0,0,0,0,0,1,22,0,0,8,0,0,2,0,0,0,19,35,2,Contagion
WORF,0,0,0,0,12,0,0,0,0,0,54,0,0,8,0,0,2,0,0,2,42,35,2,Contagion
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
COMPUTER,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,36,2,The Royale
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
DATA,0,0,0,0,8,0,0,0,0,0,4,0,0,43,0,0,2,0,0,7,63,36,2,The Royale
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
LAFORGE,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,1,0,2,0,15,36,2,The Royale
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,36,2,The Royale
PICARD,0,0,2,0,4,0,0,19,0,0,2,1,0,51,0,0,6,0,8,0,70,36,2,The Royale
PULASKI,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,36,2,The Royale
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
RIKER,0,0,0,0,43,0,0,4,0,3,51,2,0,6,0,0,0,0,2,15,114,36,2,The Royale
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
TROI,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,7,36,2,The Royale
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,The Royale
WESLEY,0,0,0,0,0,0,0,2,0,0,8,0,0,2,0,0,0,0,0,0,8,36,2,The Royale
WORF,0,0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,16,36,2,The Royale
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
DATA,0,0,0,0,2,0,0,19,0,0,7,0,0,7,0,0,0,0,0,0,21,37,2,Time Squared
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
LAFORGE,0,0,0,0,19,0,0,4,0,0,24,1,0,11,0,0,3,0,0,3,37,37,2,Time Squared
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
O'BRIEN,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,37,2,Time Squared
PICARD,0,0,0,0,7,0,0,24,0,3,38,41,0,63,0,0,18,0,0,13,119,37,2,Time Squared
PULASKI,0,0,0,0,0,0,0,1,0,0,41,0,0,2,0,0,13,0,0,1,34,37,2,Time Squared
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
RIKER,0,0,0,0,7,0,0,11,0,0,63,2,0,4,0,0,1,0,0,12,56,37,2,Time Squared
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
TROI,0,0,0,0,0,0,0,3,0,0,18,13,0,1,0,0,0,0,0,0,18,37,2,Time Squared
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,Time Squared
WORF,0,0,0,0,0,0,0,3,0,0,13,1,0,12,0,0,0,0,0,0,16,37,2,Time Squared
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
COMPUTER,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,38,2,The Icarus Factor
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
DATA,0,0,1,0,2,0,0,27,0,1,2,0,0,1,0,0,0,0,10,5,27,38,2,The Icarus Factor
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
LAFORGE,0,0,1,0,27,0,0,2,0,4,3,0,0,1,0,0,0,0,29,1,37,38,2,The Icarus Factor
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
O'BRIEN,0,0,0,0,1,0,0,4,0,0,0,1,0,6,0,0,0,0,6,0,11,38,2,The Icarus Factor
PICARD,0,0,0,0,2,0,0,3,0,0,4,0,0,31,0,0,0,0,4,1,29,38,2,The Icarus Factor
PULASKI,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,18,0,0,0,42,38,2,The Icarus Factor
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
RIKER,0,0,0,0,1,0,0,1,0,6,31,16,0,2,0,0,11,0,4,19,80,38,2,The Icarus Factor
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
TROI,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,0,0,16,38,38,2,The Icarus Factor
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,The Icarus Factor
WESLEY,0,0,0,0,10,0,0,29,0,6,4,0,0,4,0,0,0,0,0,9,32,38,2,The Icarus Factor
WORF,0,0,0,0,5,0,0,1,0,0,1,0,0,19,0,0,16,0,9,8,33,38,2,The Icarus Factor
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
COMPUTER,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14,39,2,Pen Pals
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
DATA,0,0,18,0,2,0,0,1,0,4,54,6,0,12,0,0,0,0,3,15,78,39,2,Pen Pals
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
LAFORGE,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,3,0,0,0,6,39,2,Pen Pals
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
O'BRIEN,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,39,2,Pen Pals
PICARD,0,0,6,0,54,0,0,0,0,0,0,15,0,21,0,0,16,0,9,4,74,39,2,Pen Pals
PULASKI,0,0,0,0,6,0,0,3,0,0,15,0,0,2,0,0,2,0,8,4,25,39,2,Pen Pals
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
RIKER,0,0,0,0,12,0,0,5,0,5,21,2,0,4,0,0,0,0,38,3,54,39,2,Pen Pals
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
TROI,0,0,0,0,0,0,0,3,0,0,16,2,0,0,0,0,0,0,8,1,18,39,2,Pen Pals
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,Pen Pals
WESLEY,0,0,0,0,3,0,0,0,0,0,9,8,0,38,0,0,8,0,0,0,48,39,2,Pen Pals
WORF,0,0,0,0,15,0,0,0,0,0,4,4,0,3,0,0,1,0,0,0,16,39,2,Pen Pals
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,40,2,Q_Who?
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
DATA,0,0,0,0,0,2,0,0,0,0,5,0,0,26,0,0,0,0,0,11,24,40,2,Q_Who?
GUINAN,0,0,0,0,2,0,0,4,0,0,20,0,6,12,0,0,0,0,0,1,31,40,2,Q_Who?
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
LAFORGE,0,0,0,0,0,4,0,0,0,0,7,0,2,2,0,0,0,0,0,2,23,40,2,Q_Who?
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
O'BRIEN,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,3,40,2,Q_Who?
PICARD,0,0,0,0,5,20,0,7,0,2,6,0,51,17,0,0,3,0,5,28,83,40,2,Q_Who?
PULASKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
Q,0,0,0,0,0,6,0,2,0,0,51,0,0,19,0,0,0,0,1,4,46,40,2,Q_Who?
RIKER,0,0,2,0,26,12,0,2,0,1,17,0,19,2,0,0,3,0,5,17,63,40,2,Q_Who?
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
TROI,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,4,40,2,Q_Who?
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,Q_Who?
WESLEY,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,0,0,0,3,7,40,2,Q_Who?
WORF,0,0,1,0,11,1,0,2,0,1,28,0,4,17,0,0,1,0,3,0,37,40,2,Q_Who?
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
COMPUTER,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,6,41,2,Samaritan Snare
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,4,0,3,5,33,41,2,Samaritan Snare
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
LAFORGE,0,0,2,0,0,0,0,6,0,0,2,0,0,12,0,0,0,0,0,1,52,41,2,Samaritan Snare
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
O'BRIEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
PICARD,0,0,0,0,0,0,0,2,0,0,0,21,0,11,0,0,0,0,78,0,65,41,2,Samaritan Snare
PULASKI,0,0,0,0,0,0,0,0,0,0,21,0,0,7,0,0,2,0,0,5,18,41,2,Samaritan Snare
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
RIKER,0,0,2,0,45,0,0,12,0,0,11,7,0,10,0,0,14,0,5,30,88,41,2,Samaritan Snare
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
TROI,0,0,0,0,4,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,12,41,2,Samaritan Snare
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,Samaritan Snare
WESLEY,0,0,0,0,3,0,0,0,0,0,78,0,0,5,0,0,0,0,0,0,48,41,2,Samaritan Snare
WORF,0,0,1,0,5,0,0,1,0,0,0,5,0,30,0,0,0,0,0,0,25,41,2,Samaritan Snare
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
COMPUTER,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,42,2,Up The Long Ladder
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
DATA,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,5,17,42,2,Up The Long Ladder
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
LAFORGE,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,10,42,2,Up The Long Ladder
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
O'BRIEN,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,4,42,2,Up The Long Ladder
PICARD,0,0,4,0,24,0,0,0,0,1,4,12,0,35,0,0,5,0,0,7,79,42,2,Up The Long Ladder
PULASKI,0,0,0,0,0,0,0,6,0,0,12,8,0,12,0,0,1,0,0,27,44,42,2,Up The Long Ladder
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
RIKER,0,0,4,0,2,0,0,8,0,1,35,12,0,4,0,0,3,0,0,3,63,42,2,Up The Long Ladder
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
TROI,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,1,5,42,2,Up The Long Ladder
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,Up The Long Ladder
WORF,0,0,0,0,5,0,0,0,0,0,7,27,0,3,0,0,1,0,0,0,36,42,2,Up The Long Ladder
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
COMPUTER,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,8,43,2,Manhunt
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
DATA,0,0,0,0,0,0,0,0,7,0,15,0,0,6,0,0,1,0,2,0,20,43,2,Manhunt
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
K'EHLEYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
LAFORGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
LWAXANA,0,0,3,0,7,0,0,0,8,0,38,0,0,16,0,0,29,0,6,3,68,43,2,Manhunt
O'BRIEN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,43,2,Manhunt
PICARD,0,0,10,0,15,0,0,0,38,1,2,10,0,12,0,0,8,0,4,3,90,43,2,Manhunt
PULASKI,0,0,0,0,0,0,0,0,0,1,10,2,0,5,0,0,12,0,3,1,24,43,2,Manhunt
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
RIKER,0,0,0,0,6,0,0,0,16,0,12,5,0,0,0,0,11,0,1,0,31,43,2,Manhunt
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
TROI,0,0,0,0,1,0,0,0,29,0,8,12,0,11,0,0,0,0,1,1,34,43,2,Manhunt
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,Manhunt
WESLEY,0,0,0,0,2,0,0,0,6,0,4,3,0,1,0,0,1,0,0,4,12,43,2,Manhunt
WORF,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,1,0,4,0,7,43,2,Manhunt
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
COMPUTER,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,2,The Emissary
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
DATA,0,0,0,0,4,0,5,5,0,0,15,1,0,13,0,0,0,0,0,5,28,44,2,The Emissary
GUINAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
K'EHLEYR,0,0,2,0,5,0,0,4,0,0,11,5,0,15,0,0,32,0,0,90,89,44,2,The Emissary
LAFORGE,0,0,0,0,5,0,4,0,0,0,5,5,0,2,0,0,1,0,0,6,16,44,2,The Emissary
LWAXANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
O'BRIEN,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,44,2,The Emissary
PICARD,0,0,0,0,15,0,11,5,0,2,0,0,0,15,0,0,1,0,0,22,48,44,2,The Emissary
PULASKI,0,0,0,0,1,0,5,5,0,0,0,2,0,9,0,0,0,0,0,0,11,44,2,The Emissary
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
RIKER,0,0,0,0,13,0,15,2,0,0,15,9,0,0,0,0,2,0,0,7,35,44,2,The Emissary
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
TASHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
TROI,0,0,0,0,0,0,32,1,0,0,1,0,0,2,0,0,0,0,0,0,19,44,2,The Emissary
VASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
WESLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,The Emissary
WORF,0,0,0,0,5,0,90,6,0,4,22,0,0,7,0,0,0,0,0,2,73,44,2,The Emissary
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,Peak Performance
BARCLAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,Peak Performance
COMPUTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,Peak Performance
CRUSHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,Peak Performance
DATA,0,0,0,0,0,0,0,2,0,0,21,21,0,4,0,0,30,0,2,8,58,45,2,Peak Performance
